trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
214_0_WE_13,19:11:00,19:11:10,6795,26,0
214_1_WE_1,06:30:00,06:30:10,6795,1,0
214_1_WE_1,06:34:00,06:34:10,6869,2,0
214_1_WE_1,06:37:00,06:37:10,6870,3,0
214_1_WE_1,06:40:00,06:40:10,6871,4,0
214_1_WE_1,06:41:00,06:41:10,6872,5,0
214_1_WE_1,06:42:00,06:42:10,6873,6,0
214_1_WE_1,06:44:00,06:44:10,7094,7,0
214_1_WE_1,06:45:00,06:45:10,7095,8,0
214_1_WE_1,06:46:00,06:46:10,6614,9,0
214_1_WE_1,06:47:00,06:47:10,7096,10,0
214_1_WE_1,06:48:00,06:48:10,7097,11,0
214_1_WE_1,06:52:00,06:52:10,6875,12,0
214_1_WE_1,06:58:00,06:58:10,6876,13,0
214_1_WE_1,06:59:00,06:59:10,6877,14,0
214_1_WE_1,07:01:00,07:01:10,6878,15,0
214_1_WE_1,07:02:00,07:02:10,6879,16,0
214_1_WE_1,07:03:00,07:03:10,6880,17,0
214_1_WE_1,07:04:00,07:04:10,6881,18,0
214_1_WE_1,07:05:00,07:05:10,6882,19,0
214_1_WE_1,07:06:00,07:06:10,6629,20,0
214_1_WE_1,07:07:00,07:07:10,6630,21,0
214_1_WE_1,07:08:00,07:08:10,6631,22,0
214_1_WE_1,07:09:00,07:09:10,6632,23,0
214_1_WE_1,07:10:00,07:10:10,6633,24,0
214_1_WE_1,07:11:00,07:11:10,6634,25,0
214_1_WE_1,07:12:00,07:12:10,6635,26,0
214_1_WE_1,07:14:00,07:14:10,6636,27,0
214_1_WE_1,07:15:00,07:15:10,6973,28,0
214_1_WE_2,07:30:00,07:30:10,6795,1,0
214_1_WE_2,07:34:00,07:34:10,6869,2,0
214_1_WE_2,07:37:00,07:37:10,6870,3,0
214_1_WE_2,07:40:00,07:40:10,6871,4,0
214_1_WE_2,07:41:00,07:41:10,6872,5,0
214_1_WE_2,07:42:00,07:42:10,6873,6,0
214_1_WE_2,07:44:00,07:44:10,7094,7,0
214_1_WE_2,07:45:00,07:45:10,7095,8,0
214_1_WE_2,07:46:00,07:46:10,6614,9,0
214_1_WE_2,07:47:00,07:47:10,7096,10,0
214_1_WE_2,07:48:00,07:48:10,7097,11,0
214_1_WE_2,07:52:00,07:52:10,6875,12,0
214_1_WE_2,07:58:00,07:58:10,6876,13,0
214_1_WE_2,07:59:00,07:59:10,6877,14,0
214_1_WE_2,08:01:00,08:01:10,6878,15,0
214_1_WE_2,08:02:00,08:02:10,6879,16,0
214_1_WE_2,08:03:00,08:03:10,6880,17,0
214_1_WE_2,08:04:00,08:04:10,6881,18,0
214_1_WE_2,08:05:00,08:05:10,6882,19,0
214_1_WE_2,08:06:00,08:06:10,6629,20,0
214_1_WE_2,08:07:00,08:07:10,6630,21,0
214_1_WE_2,08:08:00,08:08:10,6631,22,0
214_1_WE_2,08:09:00,08:09:10,6632,23,0
214_1_WE_2,08:10:00,08:10:10,6633,24,0
214_1_WE_2,08:11:00,08:11:10,6634,25,0
214_1_WE_2,08:12:00,08:12:10,6635,26,0
214_1_WE_2,08:14:00,08:14:10,6636,27,0
214_1_WE_2,08:15:00,08:15:10,6973,28,0
214_1_WE_3,08:30:00,08:30:10,6795,1,0
214_1_WE_3,08:34:00,08:34:10,6869,2,0
214_1_WE_3,08:37:00,08:37:10,6870,3,0
214_1_WE_3,08:40:00,08:40:10,6871,4,0
214_1_WE_3,08:41:00,08:41:10,6872,5,0
